iter	RMSE
0	124.3001025
1	107.1093783
2	98.78015494
3	93.09242122
4	88.7708233
5	86.23470106
6	84.43708347
7	82.91219227
8	82.43174031
9	81.41868082
10	80.6626525
11	79.64767596
12	79.16840641
13	78.98804849
14	77.50286289
15	75.46983038
16	75.19022451
17	74.43996306
18	74.06747221
19	73.46965447
20	72.85563993
21	71.9481796
22	71.61031891
23	70.9845538
24	70.64048083
25	70.08301591
26	69.54059019
27	69.19700077
28	68.85959423
29	68.35505771
30	67.86464244
31	67.47726348
32	67.1729059
33	66.77983449
34	66.33198834
35	66.12695523
36	65.95377859
37	65.52135538
38	65.28039238
39	65.17308518
40	64.82753369
41	64.35375901
42	63.91321253
43	63.75459299
44	63.37679822
45	62.9254019
46	62.76877609
47	62.56967388
48	62.48061321
49	62.30230094
50	62.14160952
51	61.83280874
52	61.58788638
53	61.41215523
54	61.23717735
55	61.02987132
56	60.83873073
57	60.57587429
58	60.51211013
59	60.07821102
60	59.93371026
61	59.82853446
62	59.43920363
63	59.31151871
64	59.10725135
65	58.8660258
66	58.57368893
67	58.36676423
68	58.16891291
69	57.6489054
70	57.56813181
71	57.41388369
72	57.27802881
73	56.79530397
74	56.61894772
75	56.5434747
76	56.47787078
77	56.20504854
78	56.01527071
79	55.78989071
80	55.53453491
81	55.41887308
82	55.23975131
83	55.0735301
84	54.8248175
85	54.71614364
86	54.49551633
87	54.41770121
88	54.32497517
89	54.21807176
90	53.79972431
91	53.73608557
92	53.45936995
93	53.323848
94	53.16905714
95	52.79288254
96	52.65792283
97	52.53314538
98	52.37047346
99	52.09271626
